Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
15,CSV,Mid-stance,00:20.772,00:21.024,00:00.252,00:20.646,00:01.261,00:20.862,00:00.266
15,CSV,Terminal stance,00:21.024,00:21.276,00:00.252,00:20.646,00:01.261,00:20.862,00:00.266
15,CSV,Pre-swing,00:21.276,00:21.402,00:00.126,00:20.646,00:01.261,00:20.862,00:00.266
15,CSV,Toe-off,00:21.402,00:21.566,00:00.163,00:20.646,00:01.261,00:20.862,00:00.266
15,CSV,Mid-swing,00:21.566,00:21.743,00:00.176,00:20.646,00:01.261,00:20.862,00:00.266
15,CSV,Terminal swing,00:21.743,00:21.907,00:00.163,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Heel strike - Loading response,00:20.861,00:20.888,00:00.026,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Mid-stance,00:20.888,00:20.941,00:00.053,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Terminal stance,00:20.941,00:20.995,00:00.053,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Pre-swing,00:20.995,00:21.021,00:00.026,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Toe-off,00:21.021,00:21.056,00:00.034,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Mid-swing,00:21.056,00:21.093,00:00.037,00:20.646,00:01.261,00:20.862,00:00.266
15,Video,Terminal swing,00:21.093,00:21.128,00:00.034,00:20.646,00:01.261,00:20.862,00:00.266
16,CSV,Heel strike - Loading response,00:21.907,00:22.030,00:00.123,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Mid-stance,00:22.030,00:22.276,00:00.246,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Terminal stance,00:22.276,00:22.522,00:00.246,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Pre-swing,00:22.522,00:22.645,00:00.123,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Toe-off,00:22.645,00:22.805,00:00.160,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Mid-swing,00:22.805,00:22.977,00:00.172,00:21.907,00:01.231,00:21.128,00:02.232
16,CSV,Terminal swing,00:22.977,00:23.138,00:00.160,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Heel strike - Loading response,00:21.128,00:21.351,00:00.223,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Mid-stance,00:21.351,00:21.797,00:00.446,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Terminal stance,00:21.797,00:22.243,00:00.446,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Pre-swing,00:22.243,00:22.467,00:00.223,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Toe-off,00:22.467,00:22.757,00:00.290,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Mid-swing,00:22.757,00:23.069,00:00.312,00:21.907,00:01.231,00:21.128,00:02.232
16,Video,Terminal swing,00:23.069,00:23.359,00:00.290,00:21.907,00:01.231,00:21.128,00:02.232
18,CSV,Heel strike - Loading response,00:25.846,00:25.956,00:00.110,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Mid-stance,00:25.956,00:26.178,00:00.221,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Terminal stance,00:26.178,00:26.399,00:00.221,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Pre-swing,00:26.399,00:26.510,00:00.110,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Toe-off,00:26.510,00:26.654,00:00.143,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Mid-swing,00:26.654,00:26.809,00:00.154,00:25.846,00:01.107,00:26.026,00:01.199
18,CSV,Terminal swing,00:26.809,00:26.952,00:00.143,00:25.846,00:01.107,00:26.026,00:01.199
18,Video,Heel strike - Loading response,00:26.025,00:26.145,00:00.119,00:25.846,00:01.107,00:26.026,00:01.199
