Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
25,CSV,Pre-swing,00:32.022,00:32.143,00:00.121,00:31.415,00:01.215,00:31.790,00:01.266
25,CSV,Toe-off,00:32.143,00:32.301,00:00.157,00:31.415,00:01.215,00:31.790,00:01.266
25,CSV,Mid-swing,00:32.301,00:32.472,00:00.170,00:31.415,00:01.215,00:31.790,00:01.266
25,CSV,Terminal swing,00:32.472,00:32.630,00:00.157,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Heel strike - Loading response,00:31.789,00:31.916,00:00.126,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Mid-stance,00:31.916,00:32.169,00:00.253,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Terminal stance,00:32.169,00:32.423,00:00.253,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Pre-swing,00:32.423,00:32.549,00:00.126,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Toe-off,00:32.549,00:32.714,00:00.164,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Mid-swing,00:32.714,00:32.891,00:00.177,00:31.415,00:01.215,00:31.790,00:01.266
25,Video,Terminal swing,00:32.891,00:33.055,00:00.164,00:31.415,00:01.215,00:31.790,00:01.266
26,CSV,Heel strike - Loading response,00:32.630,00:32.754,00:00.124,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Mid-stance,00:32.754,00:33.003,00:00.249,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Terminal stance,00:33.003,00:33.253,00:00.249,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Pre-swing,00:33.253,00:33.377,00:00.124,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Toe-off,00:33.377,00:33.539,00:00.161,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Mid-swing,00:33.539,00:33.714,00:00.174,00:32.630,00:01.246,00:33.056,00:01.299
26,CSV,Terminal swing,00:33.714,00:33.875,00:00.161,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Heel strike - Loading response,00:33.055,00:33.185,00:00.129,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Mid-stance,00:33.185,00:33.445,00:00.259,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Terminal stance,00:33.445,00:33.705,00:00.259,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Pre-swing,00:33.705,00:33.835,00:00.129,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Toe-off,00:33.835,00:34.004,00:00.168,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Mid-swing,00:34.004,00:34.186,00:00.181,00:32.630,00:01.246,00:33.056,00:01.299
26,Video,Terminal swing,00:34.186,00:34.354,00:00.168,00:32.630,00:01.246,00:33.056,00:01.299
28,CSV,Heel strike - Loading response,00:35.338,00:35.467,00:00.129,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Mid-stance,00:35.467,00:35.725,00:00.258,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Terminal stance,00:35.725,00:35.984,00:00.258,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Pre-swing,00:35.984,00:36.113,00:00.129,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Toe-off,00:36.113,00:36.281,00:00.167,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Mid-swing,00:36.281,00:36.462,00:00.180,00:35.338,00:01.292,00:35.788,00:01.233
28,CSV,Terminal swing,00:36.462,00:36.630,00:00.167,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Heel strike - Loading response,00:35.787,00:35.911,00:00.123,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Mid-stance,00:35.911,00:36.157,00:00.246,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Terminal stance,00:36.157,00:36.404,00:00.246,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Pre-swing,00:36.404,00:36.527,00:00.123,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Toe-off,00:36.527,00:36.688,00:00.160,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Mid-swing,00:36.688,00:36.860,00:00.172,00:35.338,00:01.292,00:35.788,00:01.233
28,Video,Terminal swing,00:36.860,00:37.021,00:00.160,00:35.338,00:01.292,00:35.788,00:01.233
29,CSV,Heel strike - Loading response,00:36.630,00:36.762,00:00.132,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Mid-stance,00:36.762,00:37.026,00:00.264,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Terminal stance,00:37.026,00:37.291,00:00.264,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Pre-swing,00:37.291,00:37.423,00:00.132,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Toe-off,00:37.423,00:37.595,00:00.171,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Mid-swing,00:37.595,00:37.781,00:00.185,00:36.630,00:01.323,00:37.021,00:01.466
29,CSV,Terminal swing,00:37.781,00:37.953,00:00.171,00:36.630,00:01.323,00:37.021,00:01.466
29,Video,Heel strike - Loading response,00:37.021,00:37.167,00:00.146,00:36.630,00:01.323,00:37.021,00:01.466
29,Video,Mid-stance,00:37.167,00:37.460,00:00.293,00:36.630,00:01.323,00:37.021,00:01.466
